City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
361,Kamaishi,JP,70.57,39.27,141.88,Hotel Route Inn Kamaishi
362,Port Keats,AU,73.62,-14.25,129.55,TDC Village (Hundred Man Camp)
363,Round Lake Beach,US,75.0,42.37,-88.09,Cambridge Courts
366,Xining,CN,51.58,36.62,101.77,Super Leisure Hotel
368,Coihaique,CL,41.0,-45.58,-72.07,Diego De Almagro Coyhaique
370,Beringovskiy,RU,48.07,63.05,179.32,Beringgorski
371,Bira,RU,53.85,49.0,132.47,Gostitsa Edel'veys
373,Fairbanks,US,55.0,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
374,Chekhov,RU,64.4,55.14,37.47,Cottage Edu v gosti
375,Nancha,CN,59.65,47.13,129.27,Communications Hotel
378,Umba,RU,52.86,66.69,34.34,Cedar Grass Beloye More
379,Inhambane,MZ,73.4,-23.86,35.38,Oceano
380,Clyde River,CA,59.0,70.47,-68.59,Qamaq Hotel
381,Bandar-E Anzali,IR,73.4,37.47,49.46,Behesht Talab Hotel
385,Waipawa,NZ,51.8,-41.41,175.52,Tora Coastal Walk
386,Bowen,AU,62.01,-20.02,148.23,Castle Motor Lodge Motel
388,Tuatapere,NZ,43.74,-46.13,167.68,Tom Cruse Refreshment Company
389,Necochea,AR,53.01,-38.55,-58.74,dyd -mar Hotel
392,Moose Factory,CA,53.6,51.26,-80.61,Cree Village Eco Lodge
393,Horasan,TR,67.78,40.05,42.17,Horasan Öğretmenevi
394,Hede,CN,76.39,33.77,120.25,Vienna 3 Best Hotel Sheyang Jiefang Rd
395,Halifax,CA,73.0,44.65,-63.57,Hotel Halifax
396,Tazovskiy,RU,53.73,67.47,78.7,TazHostel
399,Lanzhou,CN,66.99,36.06,103.79,Lanzhou Amdo Xiangbala Hotel
401,Havre-Saint-Pierre,CA,68.0,50.23,-63.6,Auberge Niapiskau
403,Saint-Pierre,RE,69.8,-21.34,55.48,Lindsey Hôtel
405,Nemuro,JP,60.85,43.32,145.57,Hotel Nemuro Kaiyoutei
406,North Bend,US,66.2,43.41,-124.22,Red Lion Hotel Coos Bay
407,Chinhoyi,ZW,68.25,-17.37,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
408,Arequipa,PE,62.6,-16.4,-71.53,Casa de Avila Hotel
411,Rocha,UY,65.26,-34.48,-54.33,Beleza Pura B&B
414,Aklavik,CA,53.6,68.22,-135.01,Aklavik Inn
416,Northam,GB,70.0,51.03,-4.22,Durrant House Hotel
418,Andenes,NO,50.0,69.31,16.12,Hotell Marena
420,Nome,US,51.01,64.5,-165.41,Dredge 7 Inn
422,Gejiu,CN,58.15,23.31,103.16,Hongtai Commercial Hotel
425,Ilhabela,BR,73.04,-23.78,-45.36,Ilha Flat Hotel
426,Sabzevar,IR,74.71,36.21,57.68,پارکینگ وسایل سنگین جنوب
