City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Saint Anthony,US,2020-08-18 17:05:24,45.02,-93.22,75.99,49,1,4.16
162,Alta Floresta,BR,2020-08-18 17:05:25,-9.88,-56.09,107.55,10,24,4.32
163,Pasighat,IN,2020-08-18 17:05:25,28.07,95.33,76.5,85,23,3.94
164,Moosomin,CA,2020-08-18 17:05:25,50.13,-101.67,81.01,41,6,5.06
165,Airai,TL,2020-08-18 17:05:25,-8.93,125.41,54.9,86,3,2.17
166,Lasa,IT,2020-08-18 17:05:26,46.62,10.7,71.01,48,40,4.7
167,Saint-Georges,GD,2020-08-18 17:05:26,12.06,-61.75,84.2,83,75,23.04
168,Grafton,US,2020-08-18 17:05:26,42.21,-71.69,84.0,50,1,14.99
169,Goderich,CA,2020-08-18 17:00:50,43.75,-81.72,68.0,80,0,11.01
170,Barabinsk,RU,2020-08-18 17:05:27,55.36,78.36,56.71,79,51,8.99
171,Avarua,CK,2020-08-18 17:05:27,-21.21,-159.78,71.6,78,92,12.75
172,Ginda,IN,2020-08-18 17:05:27,30.69,78.49,67.77,90,32,0.56
173,Antofagasta,CL,2020-08-18 17:00:38,-23.65,-70.4,60.8,55,20,10.29
174,Narsaq,GL,2020-08-18 17:05:28,60.92,-46.05,66.2,42,20,4.7
175,Sao Benedito Do Rio Preto,BR,2020-08-18 17:05:28,-3.33,-43.53,97.7,27,39,4.65
176,Bavtugay,RU,2020-08-18 17:05:28,43.16,46.83,71.15,44,2,7.02
177,East London,ZA,2020-08-18 17:03:38,-33.02,27.91,55.06,56,38,34.99
178,Natal,BR,2020-08-18 17:04:23,-5.79,-35.21,84.2,62,40,8.05
179,Dalvik,IS,2020-08-18 17:05:29,65.97,-18.53,53.6,76,90,17.22
180,Vila,PT,2020-08-18 17:05:29,42.03,-8.16,73.0,73,100,11.99
181,Igrim,RU,2020-08-18 17:05:29,63.19,64.42,53.28,97,79,6.24
182,Abapo,BO,2020-08-18 17:05:30,-18.83,-63.47,90.18,33,59,8.12
183,Novaya Bryan,RU,2020-08-18 17:05:30,51.72,108.27,55.4,66,66,4.47
184,Saldanha,ZA,2020-08-18 17:05:30,-33.01,17.94,55.4,54,71,8.05
185,Muli,MV,2020-08-18 17:05:30,2.92,73.57,83.14,65,39,2.71
186,Yerbogachen,RU,2020-08-18 17:05:31,61.28,108.01,50.63,59,0,3.44
187,Dunedin,NZ,2020-08-18 17:05:32,-45.87,170.5,46.99,68,100,1.99
188,Suntar,RU,2020-08-18 17:05:32,62.14,117.63,49.46,70,0,3.94
189,Suraabad,AZ,2020-08-18 17:05:33,40.82,49.47,73.4,60,0,6.93
190,Port Elizabeth,ZA,2020-08-18 17:05:33,-33.92,25.57,48.2,87,90,29.97
191,Hasaki,JP,2020-08-18 17:01:49,35.73,140.83,77.0,94,75,5.82
192,Krasnoselkup,RU,2020-08-18 17:05:33,65.7,82.47,58.71,64,84,10.27
193,Vero Beach,US,2020-08-18 17:05:33,27.64,-80.4,91.4,49,1,4.7
194,Codrington,AU,2020-08-18 17:05:34,-38.27,141.97,46.54,94,100,11.81
195,Benghazi,LY,2020-08-18 17:05:35,32.12,20.07,83.14,67,0,8.03
196,Dingle,PH,2020-08-18 17:05:35,11.0,122.67,75.85,90,98,3.2
197,Gillette,US,2020-08-18 17:05:29,44.29,-105.5,86.0,20,1,11.41
198,Atherton,GB,2020-08-18 17:05:36,53.52,-2.49,73.99,60,93,1.99
199,Sakata,JP,2020-08-18 17:02:14,38.92,139.85,71.74,83,96,3.51
200,Yalta,UA,2020-08-18 17:05:37,44.5,34.17,73.17,54,0,4.34
201,Midland,US,2020-08-18 17:04:28,32.0,-102.08,87.8,31,1,5.82
202,Kieta,PG,2020-08-18 17:05:37,-6.22,155.63,78.76,79,89,3.04
203,Fort Saint James,CA,2020-08-18 17:05:38,54.43,-124.25,59.4,84,100,5.82
204,Quzhou,CN,2020-08-18 17:05:38,28.96,118.87,78.62,82,8,3.6
205,Imeni Poliny Osipenko,RU,2020-08-18 17:05:38,52.42,136.49,50.38,94,84,8.34
206,Cabo San Lucas,MX,2020-08-18 17:03:47,22.89,-109.91,86.0,70,40,5.82
207,San Cristobal,VE,2020-08-18 17:05:39,7.77,-72.22,80.6,83,75,4.7
208,Natchez,US,2020-08-18 17:03:01,31.56,-91.4,86.0,58,1,4.27
209,Baruun-Urt,MN,2020-08-18 17:05:39,46.68,113.28,48.63,80,40,6.55
210,Mirnyy,RU,2020-08-18 17:05:40,62.54,113.96,51.8,66,0,4.47
211,Derzhavinsk,KZ,2020-08-18 17:05:40,51.1,66.32,59.56,65,56,8.7
212,Geraldton,AU,2020-08-18 17:05:40,-28.77,114.6,48.2,93,98,8.05
213,Port Moresby,PG,2020-08-18 17:05:41,-9.44,147.18,68.0,94,40,3.36
214,Ust-Maya,RU,2020-08-18 17:05:41,60.42,134.53,45.36,87,74,1.63
215,La Carlota,PH,2020-08-18 17:05:42,10.42,122.92,76.98,87,100,6.42
216,Vao,NC,2020-08-18 17:05:42,-22.67,167.48,68.72,63,76,12.44
217,Podgorica,ME,2020-08-18 17:05:42,42.44,19.26,80.6,54,75,3.36
218,Marystown,CA,2020-08-18 17:05:43,47.17,-55.15,63.0,100,100,7.0
219,Quatre Cocos,MU,2020-08-18 17:05:43,-20.21,57.76,72.0,78,75,18.34
220,Paramonga,PE,2020-08-18 17:05:43,-10.67,-77.83,65.48,67,32,12.26
221,Fort Nelson,CA,2020-08-18 17:00:55,58.81,-122.7,57.2,93,90,3.36
222,Komatipoort,ZA,2020-08-18 17:02:06,-25.43,31.95,75.81,40,0,5.77
223,Yar-Sale,RU,2020-08-18 17:05:44,66.83,70.83,54.03,76,72,12.73
224,Buin,CL,2020-08-18 17:05:44,-33.73,-70.75,51.8,57,75,4.7
225,Isangel,VU,2020-08-18 17:05:44,-19.55,169.27,69.13,79,82,8.86
226,Saint George,US,2020-08-18 17:05:45,37.1,-113.58,93.99,12,1,4.7
227,Ibra,OM,2020-08-18 17:05:45,22.69,58.53,92.84,43,98,8.77
228,Herat,AF,2020-08-18 17:05:45,34.5,62.0,80.6,21,0,18.34
229,Birjand,IR,2020-08-18 17:04:27,32.87,59.22,78.8,27,0,13.87
230,Yumen,CN,2020-08-18 17:05:46,40.28,97.2,69.8,21,0,13.11
231,Port Hedland,AU,2020-08-18 17:05:46,-20.32,118.57,59.0,72,0,9.17
232,Chokurdakh,RU,2020-08-18 17:05:47,70.63,147.92,34.95,88,95,5.97
233,Sola,VU,2020-08-18 17:05:47,-13.88,167.55,78.84,87,100,8.3
234,Bay Roberts,CA,2020-08-18 17:05:47,47.6,-53.26,64.0,66,90,13.38
235,Yulara,AU,2020-08-18 17:05:48,-25.24,130.99,46.4,45,0,3.36
236,Hamilton,US,2020-08-18 17:05:48,39.18,-84.53,66.2,88,90,6.93
237,Aswan,EG,2020-08-18 17:05:48,24.09,32.91,100.2,14,4,11.72
238,Kalemie,CD,2020-08-18 17:05:49,-5.95,29.19,74.28,53,29,0.38
239,Chimbote,PE,2020-08-18 17:05:49,-9.09,-78.58,65.95,66,66,13.13
